2019-03-28T10:53:07Z	15120	kdzdaa	49024257	抵制996，女程序员发起抗议，取暖抱团	抵制，996女程序员，微信交流群\n![image](https://user-images.githubusercontent.com/49024257/55152094-9e056080-518a-11e9-9569-0884064e069d.png)\n
2019-03-28T10:53:03Z	15119	programfuture	4902659	第一次觉得程序员这么团结	
2019-03-28T10:53:02Z	15118	zeerain	19531988	996的公司真的很多么？？为啥我们不是996？	坚决反对996，联合起来，抵制辣鸡公司
2019-03-28T10:52:43Z	15117	Sccw	34470287	996不抵制 007指日可待	拿命吧 秃头程序员们~~
2019-03-28T10:52:24Z	15116	zl0711	29787870	还在加班的进群聊聊  哈哈	![image](https://user-images.githubusercontent.com/29787870/55151956-52eb4d80-518a-11e9-9d49-cb982aa02266.png)\n
2019-03-28T10:52:19Z	15115	treemonster	3990389	牛逼啊，这个项目每秒都会加10个star	
2019-03-28T10:52:16Z	15114	Hinsverson	14052387	996ICU前端-夸夸群👏👏🎉㊙️💋🈲💋💋	996ICU-夸夸群👏👏🎉㊙️💋🈲💋💋
2019-03-28T10:52:14Z	15113	qdliurui	38548907	Where 996	Here
2019-03-28T10:52:00Z	15112	kkBill	24823444	你们认为能突破多少个star?	
2019-03-28T10:51:42Z	15110	xcsllll	32048658	央企程序媛打卡下班，不对，我们不打卡，所以规定7点下班，6点半人都走光了	声援996的战友们，无论几点下班，我们都站在同一战线，为自由民主平等而不懈奋斗！
2019-03-28T10:51:42Z	15110	xcsllll	32048658	央企程序媛打卡下班，不对，我们不打卡，所以规定7点下班，6点半人都走光了	声援996的战友们，无论几点下班，我们都站在同一战线，为自由民主平等而不懈奋斗！
2019-03-28T10:51:42Z	15109	CatchTheDog	38939831	可以。	
2019-03-28T10:51:39Z	15108	LDengHui	31977104	壮我大中华，程序员联邦	
2019-03-28T10:51:18Z	15107	chenbingchang	43459077	我们不是牲口！！！	
2019-03-28T10:51:15Z	15106	codedrink	37278205	 早上地铁站晕倒，坐地上休息了十分钟，等会9点下班还坐这班车	
2019-03-28T10:51:11Z	15104	zxh1307	26022440	继续加班	
2019-03-28T10:50:49Z	15103	lschris	42192053	澳洲程序员带你飞 想法脱离苦海	![2222](https://user-images.githubusercontent.com/42192053/55151968-51785000-519f-11e9-93f6-229e43a82a01.jpg)\n坐标澳洲 我是一名安卓程序员 换个环境接着撸码
2019-03-28T10:50:34Z	15102	amio	215282	页面右上角语言切换按钮应该加个下箭头	不然非中文访客很难意识到右上角是能点击切换语言的
2019-03-28T10:50:32Z	15101	yezizaiqiutian	8973622	留个名,我不反对996,我反对的是996不给加班费,不给补偿,啥都不给你跟我说个鬼	
